keyword,category
Liên Minh Công Lý: Phiên bản của Zack Snyder, Action/Adventure
thiên nga bóng đêm,Action/Adventure\n
sao băng, Action/Adventure
nữ thanh tra tài ba, action\n
bắt ma phá án, Action | Crime | Thriller
fairy tail," Adventure, Anime, Comedy, Fantasy, Magic | Fairy Tail is a Japanese manga series that follows the story of a young celestial wizard named Lucy Heartfilia and her guild of wizards called Fairy Tail. The series has elements of adventure, comedy, fantasy, and magic, making it belong to these categories."
mộng hoa lục,"action, drama, historical"
tôi thấy hoa vàng trên cỏ xanh, Drama
cô nàng trong trắng oh woo ri, Drama\n
siêu nhân, superhero
why her?, The given input does not provide enough context or information to determine a film category. Please provide more details or a specific keyword related to the film in question.
cuộc chiến thượng lưu, Action/Adventure
lấy danh nghĩa người nhà, lấy danh nghĩa người nhà
cảnh đẹp ngày vui biết bao giờ, Drama
bạn trai tôi là hồ ly,Not Found
vô tình nhặt được tổng tài, Comedy
eve, Action/Adventure
yêu nhầm chị dâu, Romance
running man,action
yêu trong đau thương,action\n
Thử Thách Thần Tượng, Tragicomedy
giữa thanh xuân,Drama
vẻ đẹp đích thực,Drama
conan, action
naruto,"Action, Adventure, Anime, Fantasy, Martial Arts, Television"
lưu ly mỹ nhân sát," Action, Thriller"
chàng hậu, Thriller
em là thành trì doanh lũy của anh,
cuộc sống thượng lưu,action\n
shooting stars,Animation
hội pháp sư,Drama\n
jujutsu kaisen,Anime|Action|Adventure|Supernatural
tại sao lại là oh soo jae?, Tìm kiếm thể loại phim cho từ khóa của bạn. Chỉ trả lời một danh mục và không giải thích nội dung.
vườn sao băng,Science Fiction
người thầy y đức, Thông minh
yêu tinh,Adult
Tìm kiếm bằng giọng nói, Thúc dư
hoa của quỷ, horror
hậu duệ mặt trời, Sci-Fi
penthouse 2,Adult/Erotic
lưỡi gươm diệt quỷ,horror\n
true beauty,Drama
nhất kiến khuynh tâm," The given keyword is in Vietnamese which translates to ""Love and Loyalty"". This movie category can be found under Romance, Drama."
thanh gươm diệt quỷ: phần kỹ viện trấn,Horror\n
nhất dạ tân nương, action\n
yêu em từ cái nhìn đầu tiên, romantic drama
con tim sắt đá, action\n
Yêu Nhầm Chị Dâu,Drama
pháp y tần minh: người đọc tâm, The category of film for your keyword is: Drama.
one punch man,Action
bolero, Comedy
boruto,Anime
tái sinh báo thù,Action |
hương mật tựa khói sương, Thriller
trữ tình,Drama
chú thuật hồi chiến,Action and Adventure
hẹn hò chốn công sở,romance
penthouse 3, Adult
kẻ quyến rũ đại tài,Action\n
cá mực hầm mật,"action, suspense, mystery"
kết hôn rồi bắt đầu yêu,Drama
Người Nhện: Không Còn Nhà,Drama
sakura - thủ lĩnh thẻ bài, Action | Drama\n
prime provider, Action
dr. stone," Action, Adventure, Sci-fi"
thiên nga đen,Action|Drama
thương ngày nắng về,Drama
anime," action, adventure"
kimetsu no yaiba, action
"taxi, em tên gì?",Action & Adventure
one piece, anime|
em đẹp nhất là khi mỉm cười, Comedy
black clover,Action & Adventure
hậu cung như ý truyện," action, adventure"
thư ký kim sao thế?," What is the meaning of ""thư ký kim sao thế""?"
mouse,Animation
công chúa aurora,Fantasy\n
cô nàng đầu bếp của tôi, Romance\n
tấm cám: chuyện chưa kể, Action/Adventure
attack on titan (season 4), Anime
minh châu rực rỡ, action | adventure
thiếu nhi, Drama
mặt nạ thủy tinh,horror
minh lan truyện,Kids & Family
pháp y tần minh,Action\n
thanh xuân vật vã,Action and Adventure
bằng chứng thép,Documentary
thanh gươm diệt quỷ: chuyến tàu vô tận,horror\n
why her, Drama
doraemon,Anime
nỗi vương vấn của hạ tiên sinh,Drama\n
thế giới động vật, Animal Documentary
nàng vệ sĩ của tôi," action, drama\n"
keep running, Drama
vân tịch truyện,  Animation
kênh vtv6, Vietnam TV Channel 6
hoa du ký,Action/Adventure
tokyo ghoul:re,"Action, Animation, Horror, Mystery"
quý ông hoàn hảo và cô nàng tạm được,Không thể tìm thấy danh mục phim dựa trên từ khoá của bạn. Vui lòng thảo luận với người bán vé lịch phim hoặc đọc bài biết trên trang web để tìm kiếm thông tin về phim.
chỉ là quan hệ hôn nhân,romance\n
mị nguyệt truyện," action, drama, fantasy, romance"
thiên nga bóng đêm - eve, Action/Adventure
bí mật nơi góc tối, Horror | Mystery\n
Nhanh Và Nguy Hiểm 9,Action
bác sĩ luật sư,Action/Adventure\n
nhất dạ tân nương 2,Action/Adventure
CONAN, Action/Adventure
tiểu nương tử nhà tướng quân,action|thần đồng|dịch chuyển|tác dụng
cổ tay áo màu đỏ, Thriller\n
người đẹp tóc mây,"Không thể tìm thấy danh mục phim cho từ khóa của bạn, vui lòng liên hệ với chúng tôi để biết thêm thông tin."
vẻ đẹp ma mị,Drama\n
phàm nhân tu tiên,Action
mây họa ánh trăng, drama
penthouse, Adult
vtv," Action, Adventure"
NARUTO, Shonen anime
vượt ra tội ác, action & adventure
chuyển sinh thành slime,animation
đại chiến titan,action
ngự giao ký,Action & Adventure
học viện anh hùng (phần 5),action\n
